id,text,withheld
1470070450155839490,If it anything like highest inflation in 40 years we don’t want build back broker. Worse president ever. Jimmy Carter no longer holds that title. Biden thinks buying oil from Russia and Middle East is better on climate than Americans producing it. https://t.co/EHHRSZTYpE,
1470070450138935301,RT @lavern_spicer: You gotta laugh that the party that can’t end Covid wants you to believe they can fix climate change AKA WEATHER!🤦🏾‍♀️😂,
1470070447744163843,"RT @MarleyK20: There were a lot of incidents with guns at schools yesterday here in FL. Black people, please talk to your children about th…",
1470070447043665923,"Liberals use deadly tornados to attack Republicans on climate change

https://t.co/UIX0JrOWVO

This is what “Liberals” do, they attack, attack, attack.  Only they are not Liberal or Progressive.  They are bitter, cruel and selfish…using every opportunity to attack others.",
1470070444942237696,"RT @AlexRamel: Unfortunately, there’s no simple solution to prevent future flooding. But a mix of strategies—like designed flood plains, mo…",
1470070443189043204,"RT @SpeakerPelosi: Six years ago, the world came together in Paris to forge a commitment to combating the climate crisis. And just last mon…",
1470070440240418821,"Climate Crisis: COP26 Has Shown That Government Is Ineffective On Climate Change, So What Now -  https://t.co/yXtvXMafIy https://t.co/u8vwrgEUR9",
1470070439712108550,All this talk of climate change…let’s not forget the truth 👇 https://t.co/3lXPv5iZjD,
1470070435161292803,RT @thebradfordfile: The same people who can't fix the supply chain claim they can alter global climate.,
1470070432657285123,"""how the grinch addressed the climate crisis""",
1470070450155839490,If it anything like highest inflation in 40 years we don’t want build back broker. Worse president ever. Jimmy Carter no longer holds that title. Biden thinks buying oil from Russia and Middle East is better on climate than Americans producing it. https://t.co/EHHRSZTYpE,
1470070450138935301,RT @lavern_spicer: You gotta laugh that the party that can’t end Covid wants you to believe they can fix climate change AKA WEATHER!🤦🏾‍♀️😂,
1470070447744163843,"RT @MarleyK20: There were a lot of incidents with guns at schools yesterday here in FL. Black people, please talk to your children about th…",
1470070447043665923,"Liberals use deadly tornados to attack Republicans on climate change

https://t.co/UIX0JrOWVO

This is what “Liberals” do, they attack, attack, attack.  Only they are not Liberal or Progressive.  They are bitter, cruel and selfish…using every opportunity to attack others.",
1470070444942237696,"RT @AlexRamel: Unfortunately, there’s no simple solution to prevent future flooding. But a mix of strategies—like designed flood plains, mo…",
1470070443189043204,"RT @SpeakerPelosi: Six years ago, the world came together in Paris to forge a commitment to combating the climate crisis. And just last mon…",
1470070440240418821,"Climate Crisis: COP26 Has Shown That Government Is Ineffective On Climate Change, So What Now -  https://t.co/yXtvXMafIy https://t.co/u8vwrgEUR9",
1470070439712108550,All this talk of climate change…let’s not forget the truth 👇 https://t.co/3lXPv5iZjD,
1470070435161292803,RT @thebradfordfile: The same people who can't fix the supply chain claim they can alter global climate.,
1470070432657285123,"""how the grinch addressed the climate crisis""",
1470070430983757834,RT @bsmitch007: The deadliest tornado in US history was almost 100 years ago.  The climate change cult will never mention that.,
1470070429695950853,"RT @TheLaurenChen: More reports of increased stillbirths...

Must be all that climate change.",
1470070426495762434,RT @SenWhitehouse: Dark money groups have empowered the far-right to reshape our judiciary in secret. Is it any surprise that the same orgs…,
1470070424365109257,"RT @JYSexton: The pandemic has given us an undeniable preview of how neoliberalism will deal with the looming crisis of climate change.

It…",
1470070423782146054,"RT @DawnTJ90: The Climate Prophet's prophecy failed miserably. 

🤡 Dr James E Hansen 🤡

#Awkward https://t.co/NIihQYB8uE",
1470070416916066312,"RT @DanCrenshawTX: Using the deaths of hundreds to further your insane climate narrative. 

You’re disgusting.",
1470070415309561859,"RT @NathanMackBrown: ⚠️ WARNING ⚠️ 

Just because our society is traumatized by COVID doesn’t mean 30 tornadoes across six states is normal…",
1470070414995034116,"RT @JYSexton: The pandemic has given us an undeniable preview of how neoliberalism will deal with the looming crisis of climate change.

It…",
1470070414751719431,RT @WeatherProf: What does the latest research say about climate’s impact (both natural and man-made) on #Tornado outbreaks? We discuss on…,
1470070410377142282,"@nonoletmegetit @srslyberserk Ditto. It doesn’t seem to matter what 99% of the people need or want, doesn’t seem to matter what’s happening to the climate, doesn’t seem to matter what’s happening to people…we can’t get anyone in power that gives a shit about us.",
1470070407634079750,"RT @mtgreenee: There is no amount of taxes and government policies that will stop tornadoes.

The climate just changes.

It’s been changing…",
1470070405830377473,My biggest fear with the climate crisis is that people are going to become numb to extreme weather events that totally should not be happening.,
1470070403733209094,"RT @mtgreenee: There is no amount of taxes and government policies that will stop tornadoes.

The climate just changes.

It’s been changing…",
1470070402131054594,"RT @STPFreak: We are wasting so much time on nonsense.  

Climate change is going to make Covid look like child's play.  I just don't get t…",
1470070400700719106,"My folks unironically believe this and it's absolutely fucking insane. They actually told me straight up that somehow Kentucky and the midwest have NEVER HAD TORNADOES until after climate change.
People are getting more and more retarded daily, I swear. https://t.co/uPK2eI8luj",
1470070398482096133,RT @Lepariyo: @UNGeneva @UN #LepariyoClimateWisdom The global community leadership must put women and the centre of global action to combat…,
1470070396884066307,"RT @jilevin: Nature's unsung hero, the humble fungus, could be the key to solving climate change: Vast networks of microscopic, underground…",
1470070395608997888,"RT @GBullstein: Lewis Hamilton is no longer F1 World Champion due to racism, climate change and Brexit.",
1470070392777854986,"RT @JYSexton: The pandemic has given us an undeniable preview of how neoliberalism will deal with the looming crisis of climate change.

It…",
1470070390152118273,"RT @KetanJ0: How many space tourism flights have happened so far? How many might happen in the future?

Seems pretty damn reasonable to que…",
1470070388050870278,"RT @RealPatriot56: Joe Biden says we have $2 gas, said a hurricane ravaged Mayfield Kentucky because of climate change, and that America is…",
1470070384447864836,Earth's Climate Is Sending Us SCARY Warning Signs https://t.co/deyRxSTbAc via @YouTube,
1470070384426897420,"@24sales2U @yaf @tedcruz My observation is GOP was aboard with climate change till Koch bros pd off some scientist 2deny the science. That started the trend &amp; they just kept the propaganda going. Same as with COVID. Everyone Bcomes an expert, when the science doesn’t tell the story they want. Cigarettes?",
1470070383566995459,@GavinNewsom Could this also be applied to fossil fuels industry - climate change damages?,
1470070379829886980,"RT @TrishForTrump: WTH…Biden mentioned climate change to reporters today after the horrific tornado where people died! 🤦‍♀️

By Monday he’l…",
1470070375799271429,"RT @SpeakerPelosi: Six years ago, the world came together in Paris to forge a commitment to combating the climate crisis. And just last mon…",
1470070375430213638,"RT @PressHerald: The climate disaster that Maine fishermen dread is not some far-off threat. It’s here. 
Read #TheLobsterTrap from @PressHe…",
1470070373442011137,"RT @POTUS: Lowering the costs of child care, elder care, housing, health care, prescription drugs — and meeting the moment on climate chang…",
1470070370535231490,"RT @Bhikhshu: The entire environment activism/climate change monkey dance is a way to halt progress of developing countries. Sadly, India i…",
1470070370514391041,"RT @FirstCelticFire: “Every tree, every bush, every flower was burned and the whole ecosystem was wiped out.” Antonis Vakos, beekeeper from…",
1470070365644673024,RT @thebradfordfile: The same people who can't fix the supply chain claim they can alter global climate.,
1470070365124661250,"RT @JYSexton: The pandemic has given us an undeniable preview of how neoliberalism will deal with the looming crisis of climate change.

It…",
1470070363870670855,"@SkyNews If “Climate Change” caused the demise of the coral reef in that area then why would they believe a new growth of reef would stand a chance against the same Climate Change still happening in that area?

Or do they actually believe something else?",
1470070363673403402,"RT @ClimateHuman: Everyone, I am begging you: Every time you learn of a new climate-related disaster, please recognize that it will get wor…",
1470070362570375172,RT @ilitat: (1/n) How does atmospheric CO2 evolve under different climate change scenarios? Find out in this new visualization of extended…,
1470070361660301313,"RT @AmericanForests: Following the devastating Camp Fire, a shared map enabled foresters and land managers to devise a collaborative and sc…",
1470070361094074382,"RT @JYSexton: The pandemic has given us an undeniable preview of how neoliberalism will deal with the looming crisis of climate change.

It…",
1470070359730704386,@ExtinctionR @ProGloCommons This is another example of a destabilized climate in crisis. Status quo politics is not effective in the situation that North America is in circa 2021. We need grassroots engagement in @SDGaction so all sectors of society decide on what must be done by 2025 and 2030 @pfairley,
1470070359705673730,"Myocarditis can be caused by post pandemic stress disorder, climate change and too much freedom. 
🤡🤡🤡
🤣 https://t.co/k6eT3RF7tZ",
1470070358229278721,"@HeathBishop13 @IamJanethePain @FoxNews Your entitled to believe what you want and spend your money on any cause you see fit.  When people see millionaire politicians like Obama and Pelosi that go on about climate change buying million dollar mansions right on the coast, don't expect people to believe or pay for it.",
1470070357105254414,RT @MattWalshBlog: One of the reasons the tornado was so uniquely deadly is that it hit a huge factory where many dozens of people happened…,
1470070351904264193,"RT @Greenpeace: “We cannot to adapt to starvation. We cannot adapt to extinction, we cannot adapt to lost cultures, lost traditions, to los…",
1470070350172110854,"RT @robhoadley: 50 or so miles down the coast from New Brunswick, Maine’s lobster fishery is getting battered by warming seas due to climat…",
1470070350041911299,"RT @DoctorVive: ""But economic growth will make us resilient to climate breakdown.""

 https://t.co/yxSClKPmTo",
1470070349710573569,"@DanDHNguyen01 @tidyvers Climate is such that you don’t need nearly as much AC as Phoenix or heating as the Midwest. For this reason we should make it as easy as possible for people to move to CA, from a climate perspective.",
1470070348586442753,"RT @NaomiOreskes: This tragic. Back in 1990s, western fuels association— a coal industry trade group— targeted Bowling Green to test climat…",
1470070348112711682,"Biden uses tornado tragedy to push climate agenda, suggests storms are ‘consequence of the warming’

https://t.co/HpfQnr02Kr",
1470070346250211333,"RT @POTUS: Lowering the costs of child care, elder care, housing, health care, prescription drugs — and meeting the moment on climate chang…",
1470070344618811400,@CBCNews Thinking you can change the climate is utter stupidity,
1470070342693621761,RT @NikolasKozloff: Enough #Biden time to declare a #ClimateEmergency #tornado #tornadoes #Kentucky #climatechange #climatecrisis #climatec…,
1470070340642480132,"RT @DanCrenshawTX: Using the deaths of hundreds to further your insane climate narrative. 

You’re disgusting.",
1470070340445425667,"RT @BadFoxGraphics: He specifically did NOT link this storm to climate change. But go ahead, @FoxNews.

“Biden was asked whether he ‘could…",
1470070338599927809,"RT @bomac_macbo: @luccamic Pure coincidence.

These events are being caused by climate change, CO2 hot weather, cold weather, unvaccinated…",
1470070336070852609,"Without facts, you can’t have truth. Without truth, you can’t have trust. Without trust, we have no shared reality, no democracy, and it becomes impossible to deal with the existential problems of our times: climate, coronavirus, now, the battle for truth. https://t.co/rYfmM0fT7y",
1470070335265411075,@refuturing This is devastating. It seems like many of our worst climate fears are here. :(,
1470070335059861507,RT @physorg_com: Climate cycles create #California precipitation uncertainty @PNNLab @NatureComms https://t.co/Pv1q71oS7g,
1470070333629734918,"RT @timolarch: Some people getting excited about the conclusion of the formula 1 championship..

Really? Abu Dhabi, F1 grand prix.. in a f*…",
1470070329200447488,"@smellybumbs @Gambit1977 @SkyNews War Drum Beating, Climate Change and COVID19 Pandemic false flag are used in instilling fear and cover-up of the World Corporate Government Bankruptcy and the impending Global Currency Reset. 
https://t.co/cbVpc9coKd ...",
1470070329016033282,"RT @POTUS: Lowering the costs of child care, elder care, housing, health care, prescription drugs — and meeting the moment on climate chang…",
1470070322493800449,RT @thebradfordfile: The same people who can't fix the supply chain claim they can alter global climate.,
1470070322066038785,"Very interesting analysis in a time where we need to redesign our buildings (and cities) 
to protect the climate 
and cope with effects of pandemic(s) 

@federicozanfi @GranataElena @elencomelli 
@EZanchini 

Housing Adaptability: Some Past Lessons https://t.co/3kLWRCaiO8",
1470070321298378752,RT @GasPriceWizard: 68% of the world’s cobalt is from the Congo in mines that have no pollution controls and employ children who die from h…,
1470070320052817921,"RT @LotteLeicht1: ""Without facts, you can’t have truth. Without truth, you can’t have trust. Without trust, we have no shared reality, no d…",
1470070318777602051,RT @WatchChad: Is climate change to blame for this idiot? People are dead…but please…push the agenda.,
1470070315891965954,@Themaskedaveng8 @bennyjohnson I don’t deny climate change.,
1470070315107639305,RT @thebradfordfile: The same people who can't fix the supply chain claim they can alter global climate.,
1470070313601937414,"RT @spaceisgreat85: @ChristianM_28 If you’re asking whether it’s climate change or not, it’s hard to say.  Climate doesn’t work that way be…",
1470070309772398593,"RT @mtgreenee: There is no amount of taxes and government policies that will stop tornadoes.

The climate just changes.

It’s been changing…",
1470070309298622473,"RT @DanCrenshawTX: Using the deaths of hundreds to further your insane climate narrative. 

You’re disgusting.",
1470070304991023110,"RT @foe_us: Biden promised to end all new oil and gas lease sales on public lands and waters.

Instead, his administration has done the opp…",
1470070302797410309,"RT @PghGreenLeft: I'm almost certain Democrats are trying to lose, because then they can go back to fundraising just by complaining about R…",
1470070302310760450,"RT @JYSexton: The pandemic has given us an undeniable preview of how neoliberalism will deal with the looming crisis of climate change.

It…",
1470070301220392972,Or…deadly tornados are another sign of climate change https://t.co/6YpD9Y07yg,
1470070299949416455,"@Hassledvania @__RiseAgain__ Or if they tackle big issues like climate change, the pandemic, political things, in a good manner?",
1470070299408359424,RT @BuzzPatterson: The simple fact that liberals are using the devastating tornadoes in Kentucky to push their climate agenda is revolting.,
1470070296015114248,@B52Malmet @Tucsondeadhead I wonder if their opinion on climate change will be reversed...nah 😕,
1470070295981608967,"RT @Revelation2041: Manchester footballer suffers a case of the ""climate change"" https://t.co/WtyjiI0aox",
1470070292928028672,"RT @POTUS: Lowering the costs of child care, elder care, housing, health care, prescription drugs — and meeting the moment on climate chang…",
1470070292206678016,"RT @PeterSweden7: When it gets warmer it is called global warming.

When it gets colder it is called climate change.",
1470070291405496324,@FD_Tweets That might not be too bad then.   I don’t envy the battle you all have with rot over there.  The dry climate here make life so much easier.,
1470070289815912450,RT @ilitat: Watch @DanielJ_Burt explaining how we use Earth system models to study mass extinctions and their underlying climate and biogeo…,
1470070289690210313,RT @MrMdc1964: Every single pipeline worker can transition away from climate destroying work to rebuilding  and strengthening our communiti…,
1470070289384058881,Disgusting. Using the deaths of hundreds to further your insane climate narrative. #LGB https://t.co/mSh0TAzGWt,
1470070288725553164,RT @AlixEHarrow: if i die in the climate crisis yall better politicize the everloving shit out of my death. mail my ashes to the american p…,
1470070288561983489,"RT @mtgreenee: There is no amount of taxes and government policies that will stop tornadoes.

The climate just changes.

It’s been changing…",
1470070275073052672,"RT @ToniBrodelle: 3) At a hustings at a local school, we were asked about the climate emergency. His response was ""I want you all to be abl…",
1470070274506723338,"RT @POTUS: Lowering the costs of child care, elder care, housing, health care, prescription drugs — and meeting the moment on climate chang…",
1470070273089146890,RT @GeraldKutney: Oh my... @WBrettWilson RTs and likes the tweet of any climate denier... no matter the credentials &amp; credibility... even T…,
1470070272845750277,"WHAT will it take for uninformed Americans to realize CLIMATE CHANGE is REAL and on steroids?!!!

🌪️🔥🌊 How many DEATHS? How much destruction?

#STOPclimateChangeNOW",
1470070269880549378,"RT @waldenmonk: Imagine this were muslims, or women, or climate freaks.",
1470070265983889409,RT @lavern_spicer: You gotta laugh that the party that can’t end Covid wants you to believe they can fix climate change AKA WEATHER!🤦🏾‍♀️😂,
1470070265187082244,RT @JoyAnnReid: Needless to say there should not be massive tornadoes in December. Praying for all who were affected in multiple states; wh…,
